Application, Transaction ID, Timestamp, Total Tests, Pass, Fail
sampleStructure,7cce3669-2efd-4a80-9609-3274d3e27d52,Wed Dec 16 21:18:57 IST 2020,0,0,0
sampleStructure,25b2023e-3bb7-45ff-bae1-12f291df8fcc,Wed Dec 16 21:21:05 IST 2020,0,0,0
sampleStructure,f9ba6891-7695-44af-aa9b-c339273d36f7,Thu Dec 17 20:58:04 IST 2020,0,0,0
sampleStructure,f5713c27-e2f1-4d6e-805a-25d000744076,Thu Dec 17 21:02:15 IST 2020,0,0,0
sampleStructure,05594959-65b1-4dc0-9769-a958861f5cef,Thu Dec 17 21:02:16 IST 2020,0,0,0
sampleStructure,0bd8fede-40b4-4ba7-9624-81d349ac3eb6,Thu Dec 17 21:03:23 IST 2020,0,0,0
sampleStructure,1d0447a4-7c16-40c5-8b68-18e0e728195f,Thu Dec 17 21:06:03 IST 2020,0,0,0
sampleStructure,deb72e8a-532c-4dc6-bb8d-98ee42db9ef8,Thu Dec 17 21:15:10 IST 2020,0,0,0
sampleStructure,a1a475c6-519f-4990-97b4-c9b6741866a3,Thu Dec 17 21:18:34 IST 2020,0,0,0
sampleStructure,8c74ca62-e412-4cb5-a055-5a2f1bb12186,Thu Dec 17 21:19:25 IST 2020,0,0,0
sampleStructure,f98cf05a-c0c9-4337-be4c-4a82027b7141,Thu Dec 17 21:23:31 IST 2020,0,0,0
